libusea,libuseb,sex,age,par,inc,live,books
Y,Y,female,22,no,150+,A suburb near a large city,2
N,N,male,67,no,150+,A large city,50
N,N,male,25,no,30-under 75,A small city or town,6
N,N,male,24,no,under 30,A suburb near a large city,
N,N,female,79,no,,A rural area,50
Y,Y,male,28,no,75-under 150,A large city,25
Y,N,female,50,,,A rural area,5
Y,Y,female,20,no,,A large city,0
Y,N,male,58,no,30-under 75,A rural area,0
Y,Y,male,40,yes,150+,A suburb near a large city,4
N,N,male,57,no,under 30,A large city,10
N,N,female,63,no,30-under 75,A large city,0
N,N,female,72,no,,A rural area,24
Y,Y,male,19,no,30-under 75,A large city,12
Y,Y,female,46,no,under 30,A small city or town,7
N,N,male,57,no,under 30,A large city,30
N,N,female,76,no,under 30,A small city or town,2
N,Y,female,67,no,,A small city or town,6
Y,Y,female,32,no,under 30,A suburb near a large city,50
N,N,male,36,no,30-under 75,A rural area,3
Y,Y,female,24,no,75-under 150,A large city,7
Y,Y,female,66,no,30-under 75,A suburb near a large city,
N,N,female,17,no,30-under 75,A large city,5
N,N,male,60,no,30-under 75,,0
Y,N,male,42,yes,75-under 150,A small city or town,5
N,N,male,43,yes,75-under 150,A rural area,0
Y,Y,male,38,yes,75-under 150,A suburb near a large city,24
N,N,male,60,no,150+,A suburb near a large city,0
Y,Y,male,61,no,30-under 75,A small city or town,50
Y,N,male,82,no,30-under 75,A rural area,3
N,N,female,58,no,30-under 75,A small city or town,0
N,N,female,53,yes,,A small city or town,0
N,N,male,51,no,under 30,A suburb near a large city,1
Y,N,male,50,yes,150+,A suburb near a large city,2
N,Y,male,62,no,30-under 75,A small city or town,3
N,N,female,62,no,150+,A suburb near a large city,30
Y,N,male,18,no,30-under 75,A large city,3
N,N,male,60,no,150+,A small city or town,0
N,Y,male,51,no,under 30,A small city or town,4
Y,Y,female,49,yes,75-under 150,A suburb near a large city,10
N,N,female,66,no,under 30,A suburb near a large city,0
Y,N,male,61,no,150+,A suburb near a large city,5
Y,Y,female,26,no,30-under 75,A small city or town,12
Y,N,male,54,no,75-under 150,A large city,2
Y,Y,male,17,no,30-under 75,A rural area,15
Y,Y,female,62,no,under 30,A suburb near a large city,
